# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 559K of event 'cpu-clock'
# Event count (approx.): 139767000000
#
# Overhead  Command  Shared Object         Symbol                                       
# ........  .......  ....................  .............................................
#
     0.00%  ua.B.x   ua.B.x                [.] geom1_._omp_fn.1
     0.00%  ua.B.x   ua.B.x                [.] mor_s_e_nn_
     0.00%  ua.B.x   ua.B.x                [.] mortar_._omp_fn.2
     0.00%  ua.B.x   ua.B.x                [.] parallel_add_._omp_fn.10
     0.00%  ua.B.x   ua.B.x                [.] remapy_
     0.00%  ua.B.x   ua.B.x                [.] remapz_
     0.00%  ua.B.x   [kernel.kallsyms]     [k] ___bpf_prog_run
     0.00%  ua.B.x   [kernel.kallsyms]     [k] __bitmap_and
     0.00%  ua.B.x   [kernel.kallsyms]     [k] __clear_user
     0.00%  ua.B.x   [kernel.kallsyms]     [k] __dec_node_page_state
     0.00%  ua.B.x   [kernel.kallsyms]     [k] __netif_receive_skb_core
     0.00%  ua.B.x   [kernel.kallsyms]     [k] __raw_callee_save___pv_queued_spin_unlock
     0.00%  ua.B.x   [kernel.kallsyms]     [k] __schedule
     0.00%  ua.B.x   [kernel.kallsyms]     [k] __virt_addr_valid
     0.00%  ua.B.x   [kernel.kallsyms]     [k] _copy_from_user
     0.00%  ua.B.x   [kernel.kallsyms]     [k] copy_fpstate_to_sigframe
     0.00%  ua.B.x   [kernel.kallsyms]     [k] do_sigaltstack
     0.00%  ua.B.x   [kernel.kallsyms]     [k] down_read_trylock
     0.00%  ua.B.x   [kernel.kallsyms]     [k] e1000_clean
     0.00%  ua.B.x   [kernel.kallsyms]     [k] find_first_bit
     0.00%  ua.B.x   [kernel.kallsyms]     [k] find_vma
     0.00%  ua.B.x   [kernel.kallsyms]     [k] fpstate_init
     0.00%  ua.B.x   [kernel.kallsyms]     [k] fpu__activate_curr
     0.00%  ua.B.x   [kernel.kallsyms]     [k] fpu__alloc_mathframe
     0.00%  ua.B.x   [kernel.kallsyms]     [k] fpu__drop
     0.00%  ua.B.x   [kernel.kallsyms]     [k] fpu__restore_sig
     0.00%  ua.B.x   [kernel.kallsyms]     [k] get_task_policy.part.28
     0.00%  ua.B.x   [kernel.kallsyms]     [k] get_vma_policy.part.32
     0.00%  ua.B.x   [kernel.kallsyms]     [k] group_balance_cpu
     0.00%  ua.B.x   [kernel.kallsyms]     [k] ip_finish_output2
     0.00%  ua.B.x   [kernel.kallsyms]     [k] kfree
     0.00%  ua.B.x   [kernel.kallsyms]     [k] kmem_cache_free
     0.00%  ua.B.x   [kernel.kallsyms]     [k] load_balance
     0.00%  ua.B.x   [kernel.kallsyms]     [k] mem_cgroup_commit_charge
     0.00%  ua.B.x   [kernel.kallsyms]     [k] mem_cgroup_from_task
     0.00%  ua.B.x   [kernel.kallsyms]     [k] memset
     0.00%  ua.B.x   [kernel.kallsyms]     [k] ptregs_sys_rt_sigreturn
     0.00%  ua.B.x   [kernel.kallsyms]     [k] smp_call_function_single
     0.00%  ua.B.x   [kernel.kallsyms]     [k] stub_ptregs_64
     0.00%  ua.B.x   [kernel.kallsyms]     [k] sys_futex
     0.00%  ua.B.x   [kernel.kallsyms]     [k] unmap_page_range
     0.00%  ua.B.x   [kernel.kallsyms]     [k] up_read
     0.00%  ua.B.x   [kernel.kallsyms]     [k] update_group_capacity
     0.00%  ua.B.x   [kernel.kallsyms]     [k] uprobe_deny_signal
     0.00%  ua.B.x   [kernel.kallsyms]     [k] vmacache_find
     0.00%  ua.B.x   libgfortran.so.4.0.0  [.] _gfortran_transfer_integer_write
     0.00%  ua.B.x   libgomp.so.1.0.0      [.] omp_get_thread_num
     0.00%  ua.B.x   libgomp.so.1.0.0      [.] omp_init_lock_
     0.00%  ua.B.x   libgomp.so.1.0.0      [.] 0x000000000000f903
