Optimisation,O0,O1,O2,O3,,
  -fopt-info                  ,[disabled],[disabled],[disabled],[disabled],,"'-fopt-info',"
  -foptimize-sibling-calls    ,[disabled],[disabled],[enabled],[enabled],,"'-foptimize-sibling-calls',"
  -foptimize-strlen           ,[disabled],[disabled],[enabled],[enabled],,"'-foptimize-strlen',"
  -fpack-struct               ,[disabled],[disabled],[disabled],[disabled],,"'-fpack-struct',"
  -fpartial-inlining          ,[disabled],[disabled],[enabled],[enabled],,"'-fpartial-inlining',"
  -fpeel-loops                ,[disabled],[disabled],[disabled],[enabled],,"'-fpeel-loops',"
  -fpeephole                  ,[enabled],[enabled],[enabled],[enabled],,"'-fpeephole',"
  -fpeephole2                 ,[disabled],[disabled],[enabled],[enabled],,"'-fpeephole2',"
  -fplt                       ,[enabled],[enabled],[enabled],[enabled],,"'-fplt',"
  -fpredictive-commoning      ,[disabled],[disabled],[disabled],[enabled],,"'-fpredictive-commoning',"
  -fprefetch-loop-arrays      ,[enabled],[enabled],[enabled],[enabled],,"'-fprefetch-loop-arrays',"
  -fprintf-return-value       ,[enabled],[enabled],[enabled],[enabled],,"'-fprintf-return-value',"
  -freg-struct-return         ,[disabled],[disabled],[disabled],[disabled],,"'-freg-struct-return',"
  -frename-registers          ,[enabled],[enabled],[enabled],[enabled],,"'-frename-registers',"
  -freorder-blocks            ,[disabled],[enabled],[enabled],[enabled],,"'-freorder-blocks',"
  -freorder-blocks-and-partition ,[disabled],[disabled],[enabled],[enabled],,"'-freorder-blocks-and-partition',"
  -freorder-functions         ,[disabled],[disabled],[enabled],[enabled],,"'-freorder-functions',"
  -frerun-cse-after-loop      ,[disabled],[disabled],[enabled],[enabled],,"'-frerun-cse-after-loop',"
  -freschedule-modulo-scheduled-loops ,[disabled],[disabled],[disabled],[disabled],,"'-freschedule-modulo-scheduled-loops',"
  -frtti                      ,[enabled],[enabled],[enabled],[enabled],,"'-frtti',"
  -fsched-critical-path-heuristic ,[enabled],[enabled],[enabled],[enabled],,"'-fsched-critical-path-heuristic',"
  -fsched-dep-count-heuristic ,[enabled],[enabled],[enabled],[enabled],,"'-fsched-dep-count-heuristic',"
  -fsched-group-heuristic     ,[enabled],[enabled],[enabled],[enabled],,"'-fsched-group-heuristic',"
  -fsched-interblock          ,[enabled],[enabled],[enabled],[enabled],,"'-fsched-interblock',"
  -fsched-last-insn-heuristic ,[enabled],[enabled],[enabled],[enabled],,"'-fsched-last-insn-heuristic',"
  -fsched-pressure            ,[disabled],[disabled],[disabled],[disabled],,"'-fsched-pressure',"
  -fsched-rank-heuristic      ,[enabled],[enabled],[enabled],[enabled],,"'-fsched-rank-heuristic',"
  -fsched-spec                ,[enabled],[enabled],[enabled],[enabled],,"'-fsched-spec',"
  -fsched-spec-insn-heuristic ,[enabled],[enabled],[enabled],[enabled],,"'-fsched-spec-insn-heuristic',"
  -fsched-spec-load           ,[disabled],[disabled],[disabled],[disabled],,"'-fsched-spec-load',"
  -fsched-spec-load-dangerous ,[disabled],[disabled],[disabled],[disabled],,"'-fsched-spec-load-dangerous',"
  -fsched-stalled-insns       ,[disabled],[disabled],[disabled],[disabled],,"'-fsched-stalled-insns',"
  -fsched-stalled-insns-dep   ,[enabled],[enabled],[enabled],[enabled],,"'-fsched-stalled-insns-dep',"
  -fsched2-use-superblocks    ,[disabled],[disabled],[disabled],[disabled],,"'-fsched2-use-superblocks',"
  -fschedule-fusion           ,[enabled],[enabled],[enabled],[enabled],,"'-fschedule-fusion',"
  -fschedule-insns            ,[disabled],[disabled],[disabled],[disabled],,"'-fschedule-insns',"
  -fschedule-insns2           ,[disabled],[disabled],[enabled],[enabled],,"'-fschedule-insns2',"
  -fsel-sched-pipelining      ,[disabled],[disabled],[disabled],[disabled],,"'-fsel-sched-pipelining',"
  -fsel-sched-pipelining-outer-loops ,[disabled],[disabled],[disabled],[disabled],,"'-fsel-sched-pipelining-outer-loops',"
  -fsel-sched-reschedule-pipelined ,[disabled],[disabled],[disabled],[disabled],,"'-fsel-sched-reschedule-pipelined',"
  -fselective-scheduling      ,[disabled],[disabled],[disabled],[disabled],,"'-fselective-scheduling',"
  -fselective-scheduling2     ,[disabled],[disabled],[disabled],[disabled],,"'-fselective-scheduling2',"
  -fshort-enums               ,[enabled],[enabled],[enabled],[enabled],,"'-fshort-enums',"
  -fshort-wchar               ,[disabled],[disabled],[disabled],[disabled],,"'-fshort-wchar',"
  -fshrink-wrap               ,[disabled],[enabled],[enabled],[enabled],,"'-fshrink-wrap',"
  -fshrink-wrap-separate      ,[enabled],[enabled],[enabled],[enabled],,"'-fshrink-wrap-separate',"
  -fsplit-ivs-in-unroller     ,[enabled],[enabled],[enabled],[enabled],,"'-fsplit-ivs-in-unroller',"
  -fsplit-loops               ,[disabled],[disabled],[disabled],[enabled],,"'-fsplit-loops',"
  -fsplit-paths               ,[disabled],[disabled],[disabled],[enabled],,"'-fsplit-paths',"
  -fsplit-wide-types          ,[disabled],[enabled],[enabled],[enabled],,"'-fsplit-wide-types',"
  -fssa-backprop              ,[enabled],[enabled],[enabled],[enabled],,"'-fssa-backprop',"
  -fssa-phiopt                ,[disabled],[enabled],[enabled],[enabled],,"'-fssa-phiopt',"
  -fstack-protector           ,[disabled],[disabled],[disabled],[disabled],,"'-fstack-protector',"
  -fstack-protector-all       ,[disabled],[disabled],[disabled],[disabled],,"'-fstack-protector-all',"
  -fstack-protector-explicit  ,[disabled],[disabled],[disabled],[disabled],,"'-fstack-protector-explicit',"
  -fstack-protector-strong    ,[disabled],[disabled],[disabled],[disabled],,"'-fstack-protector-strong',"
  -fstdarg-opt                ,[enabled],[enabled],[enabled],[enabled],,"'-fstdarg-opt',"
  -fstore-merging             ,[disabled],[disabled],[enabled],[enabled],,"'-fstore-merging',"
  -fstrict-enums              ,[disabled],[disabled],[disabled],[disabled],,"'-fstrict-enums',"
  -fstrict-overflow           ,[disabled],[disabled],[enabled],[enabled],,"'-fstrict-overflow',"
  -fstrict-volatile-bitfields ,[enabled],[enabled],[enabled],[enabled],,"'-fstrict-volatile-bitfields',"
  -fthread-jumps              ,[disabled],[disabled],[enabled],[enabled],,"'-fthread-jumps',"
  -fno-threadsafe-statics     ,[enabled],[enabled],[enabled],[enabled],,"'-fno-threadsafe-statics',"
  -ftracer                    ,[disabled],[disabled],[disabled],[disabled],,"'-ftracer',"
